img_idx,illum,occ,time,gt_bbox,pred_bbox,mse
15,0,0,1.0865824222564697,[ 209.  888.  734. 1663.],[164.69876098632812 929.4324340820312 738.5551147460938 1598.7451171875],88.4798587685725
16,0,0,0.9782509803771973,[404.  94. 536. 274.],[405.5331726074219 90.05946350097656 535.10009765625 280.4295349121094],7.747721572088451
17,1,0,0.19239139556884766,[350. 256. 502. 432.],[349.85394287109375 263.3008117675781 504.4527282714844 431.73565673828125],7.70771940876589
18,0,0,0.09037470817565918,[688.  73. 870. 307.],[685.0050048828125 73.73776245117188 863.8558959960938 305.5367126464844],7.028905538994793
20,0,2,0.17676663398742676,[494. 251. 569. 361.],[488.2851257324219 247.61492919921875 575.6712036132812 361.89422607421875],9.456378278294386
21,0,0,0.9494352340698242,[ 135.  235.  889. 1368.],[7.9813232421875 220.7176513671875 901.8147583007812 1367.3798828125],128.46140394456435
22,0,2,0.18460822105407715,[414. 118. 714. 496.],[403.5581359863281 124.52202606201172 704.8272094726562 458.0213928222656],40.964424043952576
23,0,0,1.304774284362793,[384. 228. 672. 630.],[383.8161926269531 223.9145965576172 672.2672729492188 575.8297729492188],54.32503327196401
24,0,0,0.10304951667785645,[282.  92. 448. 320.],[289.15106201171875 84.7250747680664 445.348876953125 299.7019348144531],22.871426031449218
25,0,0,1.3160276412963867,[252. 244. 793. 940.],[266.58721923828125 242.52915954589844 797.8414306640625 936.9657592773438],15.735196356736527
26,0,0,0.15296506881713867,[954. 135. 981. 172.],[957.0386352539062 139.12249755859375 980.041259765625 171.34634399414062],5.251165521853105
27,0,0,1.0469934940338135,[416.  92. 586. 316.],[419.9252014160156 94.3691177368164 579.4630737304688 308.29730224609375],11.094272520021729
28,0,0,0.3329629898071289,[415. 112. 563. 310.],[415.5093688964844 118.98284912109375 561.6351318359375 311.8702087402344],7.374292125891532
29,0,0,0.7808742523193359,[276. 266. 830. 876.],[260.74139404296875 252.0482177734375 802.8435668945312 877.230224609375],34.15351511412384
30,0,0,0.1902167797088623,[ 589.  872.  728. 1133.],[356.4483337402344 183.79664611816406 545.359619140625 431.8532409667969],1025.9963061325432
31,0,0,1.1075191497802734,[465. 146. 668. 446.],[453.71429443359375 164.657470703125 655.8313598632812 406.8060302734375],46.47269551976989
32,0,0,1.510061264038086,[121. 342. 428. 699.],[149.7510223388672 350.4146728515625 431.8621826171875 694.1337280273438],30.594526670782603
34,0,0,0.11669230461120605,[432. 128. 684. 490.],[424.56005859375 148.88580322265625 673.7041015625 486.5856018066406],24.68264864316798
35,0,0,1.1689364910125732,[467.  95. 579. 245.],[474.8825988769531 108.2978515625 578.0643920898438 245.5913543701172],15.498170323810163
36,0,0,0.06820225715637207,[336.  82. 448. 244.],[333.07208251953125 89.48018646240234 444.9211120605469 243.89747619628906],8.603252429097907
37,0,0,0.6712675094604492,[271. 426. 508. 682.],[275.9268493652344 405.27447509765625 502.82904052734375 684.6748046875],22.084262023656272
38,0,0,0.3539009094238281,[393. 198. 426. 245.],[393.3492126464844 199.7915496826172 425.4417419433594 243.56411743164062],2.388516390078337
39,0,0,0.09276843070983887,[408. 128. 627. 437.],[410.3926086425781 145.4856414794922 613.9535522460938 431.6712646484375],22.58489436566562
40,0,0,1.2490856647491455,[210. 320. 339. 554.],[247.7139434814453 372.01519775390625 337.8320007324219 503.4677734375],81.74834844785867
41,0,0,0.07812023162841797,[268. 174. 396. 438.],[244.083984375 208.20692443847656 389.5261535644531 438.14349365234375],42.237669928799285
42,1,1,1.5397109985351562,[455. 237. 542. 363.],[458.45733642578125 255.31005859375 538.4280395507812 349.3221435546875],23.389187229507396
43,0,1,1.3970577716827393,[489. 290. 509. 305.],[443.2339782714844 438.89727783203125 487.26312255859375 494.6756591796875],246.402669662477
44,0,0,0.11686849594116211,[404.  82. 496. 210.],[403.7367248535156 80.97660064697266 496.05548095703125 206.87701416015625],3.2973896844308275
46,0,0,0.16177105903625488,[354. 172. 432. 300.],[276.4006652832031 331.7980041503906 562.63330078125 626.5335083007812],394.01300764715705
47,0,0,0.11736202239990234,[378. 158. 680. 606.],[397.7944641113281 213.5684356689453 678.5665893554688 596.0303955078125],59.84245593184551
48,0,0,1.7678208351135254,[408. 218. 478. 322.],[400.5546875 224.4157257080078 475.6355285644531 326.0089111328125],10.87457163401638
49,0,0,1.4130337238311768,[266. 142. 588. 626.],[245.87245178222656 172.57186889648438 588.2725830078125 619.426025390625],37.18936418848108
50,0,0,1.326399803161621,[693. 171. 859. 423.],[692.6678466796875 197.2134552001953 854.8795776367188 402.64471435546875],33.44504587353902
51,0,0,1.4390769004821777,[364. 216. 576. 500.],[345.047119140625 224.58834838867188 577.3775024414062 504.5718994140625],21.34879851755717
52,1,0,0.1923525333404541,[213. 225. 468. 546.],[210.4866943359375 225.61587524414062 473.6360168457031 556.119873046875],11.868973167349838
53,0,0,1.3031690120697021,[246. 270. 742. 938.],[268.8713684082031 333.38824462890625 754.2754516601562 902.0005493164062],77.38098095125925
54,0,1,1.2951030731201172,[200.  44. 356. 214.],[212.6732940673828 48.14372634887695 333.3611145019531 184.52374267578125],39.48609543890069
55,0,0,0.1525413990020752,[298. 245. 726. 823.],[293.5660705566406 280.54547119140625 716.3232421875 818.8316650390625],37.338383878204134
56,0,0,1.4649784564971924,[381. 520. 808. 965.],[343.4810791015625 501.4366455078125 832.2830200195312 1040.1893310546875],89.41682236081853
57,0,0,1.6119322776794434,[178. 129. 841. 948.],[200.1780242919922 147.38848876953125 845.0299072265625 960.6851806640625],31.73570924775399
58,0,0,0.14548730850219727,[555. 360. 608. 451.],[549.4747924804688 366.08648681640625 614.6852416992188 445.13214111328125],12.111872868866696
59,0,0,0.8644523620605469,[722. 212. 794. 328.],[718.979248046875 228.6221160888672 791.8729858398438 325.24139404296875],17.249747293736203
60,0,1,0.11795568466186523,[436. 122. 666. 380.],[420.46295166015625 107.76869201660156 656.4835205078125 389.4047546386719],24.958821882689634
61,0,0,0.09291481971740723,[708. 288. 866. 460.],[717.9229125976562 279.9297180175781 872.7744750976562 475.7189636230469],21.36756832042345
62,0,0,1.3705213069915771,[273. 195. 771. 889.],[310.6879577636719 227.67161560058594 778.7428588867188 887.067626953125],50.512400019012105
63,0,0,3.3285889625549316,[254. 110. 364. 236.],[267.6372985839844 104.78938293457031 359.8441467285156 216.33877563476562],24.838705739741805
64,0,0,1.110931158065796,[725. 178. 771. 266.],[720.97802734375 180.87112426757812 772.2376098632812 259.5701904296875],8.203276655804798
65,1,0,0.19417953491210938,[790.  66. 870. 176.],[789.7233276367188 84.13665008544922 861.6578369140625 174.69735717773438],20.007578244090592
66,0,0,1.6561591625213623,[488. 662. 560. 764.],[476.5793762207031 660.9623413085938 556.2860107421875 758.9124145507812],13.083754238686279
67,0,0,1.4227757453918457,[443. 155. 632. 454.],[444.8655090332031 156.4883270263672 631.760986328125 430.8446044921875],23.27927640518373
68,1,0,1.5826961994171143,[216. 212. 402. 478.],[216.40525817871094 262.5619201660156 379.6935729980469 472.86102294921875],55.50367353417132
69,0,0,0.6671209335327148,[661. 590. 837. 790.],[657.3524780273438 576.189453125 860.2854614257812 790.7189331054688],27.32700496119668
70,0,0,0.4158036708831787,[464. 104. 662. 396.],[447.5041198730469 121.87865447998047 667.6160278320312 410.4697265625],28.856075661478997
71,1,0,0.11364078521728516,[518. 246. 572. 322.],[516.6502685546875 250.10044860839844 574.128173828125 321.73980712890625],4.819987337894808
72,0,0,1.4429421424865723,[452. 154. 518. 286.],[446.6081848144531 168.79867553710938 523.0579223632812 282.45758056640625],16.9175584149787
73,0,0,1.801854133605957,[208. 246. 330. 442.],[189.25027465820312 265.7744445800781 324.2733459472656 431.39306640625],29.797356690574457
74,1,0,1.3919320106506348,[408. 429. 486. 552.],[405.6278991699219 440.5714111328125 489.4635314941406 560.2685546875],14.82867037140271
75,0,0,0.8582937717437744,[518. 351. 664. 515.],[512.9926147460938 365.73358154296875 651.4275512695312 522.4467163085938],21.346484090484047
76,0,0,0.12660765647888184,[416. 186. 514. 324.],[415.2733154296875 194.53599548339844 514.7809448242188 325.9642639160156],8.823802859740457
77,0,0,1.2784535884857178,[300. 517. 417. 721.],[290.30706787109375 545.7704467773438 411.678955078125 716.920654296875],31.090933106771956
78,1,0,1.3668475151062012,[514. 201. 622. 351.],[522.0230102539062 207.81402587890625 623.73388671875 344.8350830078125],12.321209635693597
79,0,0,1.267690658569336,[405. 474. 645. 816.],[394.0199890136719 503.7396240234375 619.325927734375 794.7033081054688],46.01861526237437
80,0,0,0.1234903335571289,[632.  50. 744. 202.],[626.2871704101562 70.713134765625 742.8485717773438 200.18272399902344],21.593949447870624
81,0,0,0.9679205417633057,[274. 146. 700. 782.],[261.39202880859375 142.0765838623047 710.1831665039062 762.70849609375],25.499277141989637
82,1,0,0.08983659744262695,[616. 134. 682. 234.],[619.2372436523438 140.93011474609375 684.992431640625 229.77053833007812],9.238464699278659
83,0,0,1.0417509078979492,[438. 188. 600. 414.],[436.9817810058594 184.4390869140625 592.217529296875 377.3880615234375],37.612734029610586
84,0,0,0.17415142059326172,[470. 200. 606. 376.],[485.83148193359375 192.8384552001953 618.2177734375 364.6511535644531],24.083061419201265
85,0,0,1.3094024658203125,[352.   6. 554. 312.],[337.4468078613281 17.355674743652344 551.3549194335938 303.1955871582031],20.621854596527015
87,0,0,2.2197251319885254,[548.  84. 654. 250.],[536.8419189453125 103.33917236328125 636.956787109375 240.69349670410156],29.59034419792058
88,0,0,0.2749931812286377,[296. 468. 482. 816.],[297.06304931640625 513.0635375976562 499.3638610839844 807.7357788085938],49.00666810046246
89,1,0,1.4989335536956787,[627. 422. 655. 457.],[626.9165649414062 425.1462097167969 654.7816162109375 456.21722412109375],3.250542500413179
90,1,0,0.16371417045593262,[584. 100. 708. 264.],[571.1549682617188 96.75527954101562 706.8748168945312 267.5052490234375],13.750485771475358
91,0,0,1.2741279602050781,[348.  80. 436. 184.],[347.09332275390625 74.654052734375 435.99774169921875 188.40623474121094],6.9868537618876925
92,0,0,1.9074623584747314,[302. 152. 484. 376.],[299.5286560058594 115.8994369506836 493.92340087890625 384.2649230957031],38.42058084407898
93,0,0,1.351747989654541,[184. 102. 733. 914.],[229.11827087402344 124.82351684570312 715.4302978515625 856.6723022460938],78.43296915976012
94,0,0,1.3554463386535645,[396. 202. 488. 316.],[416.3955993652344 211.42205810546875 483.8924865722656 309.07659912109375],23.865472941030024
95,1,0,0.10080099105834961,[348. 214. 696. 636.],[338.8603210449219 171.15798950195312 688.0325927734375 654.777587890625],48.32234451908023
96,0,0,0.9734916687011719,[354. 242. 412. 336.],[354.2337646484375 249.10012817382812 418.6003723144531 340.3960266113281],10.646897700858752
97,0,0,0.14651155471801758,[315. 247. 578. 588.],[321.88134765625 229.9075469970703 585.6182861328125 596.3341064453125],21.61019456337078
98,0,0,0.6690428256988525,[393. 189. 554. 431.],[370.79742431640625 166.4606170654297 553.484130859375 430.232421875],31.6517526719317
99,1,0,1.0956296920776367,[619. 185. 639. 208.],[621.4581909179688 185.4080047607422 639.533203125 206.87677001953125],2.7848019023811963
100,0,0,1.226736068725586,[413. 217. 573. 410.],[413.11151123046875 210.51358032226562 567.5445556640625 408.6075134277344],8.58993403622362
101,1,0,1.4769022464752197,[414. 336. 536. 472.],[852.1123046875 364.48492431640625 993.65771484375 560.9507446289062],640.4034676342285
102,1,0,0.9874312877655029,[382. 198. 710. 624.],[387.7385559082031 171.28126525878906 721.9647827148438 615.9031982421875],30.911745893778058
103,0,0,0.17313671112060547,[297. 333. 689. 803.],[301.3475646972656 247.9844970703125 721.3482666015625 799.3544921875],91.13856009681838
104,0,0,1.1233189105987549,[495. 296. 522. 325.],[496.86602783203125 299.2845764160156 520.5968017578125 326.5751037597656],4.326709981437072
105,1,0,0.11642336845397949,[341. 186. 707. 723.],[322.21026611328125 191.1268768310547 719.2619018554688 702.281494140625],30.96691278982483
106,0,1,1.2169325351715088,[444. 441. 528. 522.],[456.67401123046875 444.5544738769531 518.9795532226562 518.01123046875],16.448209253542156
107,0,0,1.5834221839904785,[283. 241. 631. 671.],[278.10162353515625 201.88308715820312 647.7799072265625 659.5294189453125],44.353877829658465
108,0,0,1.5654575824737549,[570. 136. 676. 278.],[566.8331909179688 106.23229217529297 694.8148193359375 270.5916442871094],36.125147334119575
109,0,0,0.0837705135345459,[326. 174. 384. 232.],[330.4017639160156 168.62353515625 380.5027770996094 225.8215789794922],9.934050236941946
110,0,0,2.232509136199951,[480. 138. 594. 309.],[489.450439453125 151.46395874023438 596.7999267578125 294.9508972167969],21.812974801205712
111,0,1,0.9034578800201416,[446. 114. 532. 216.],[457.3519592285156 118.83090209960938 538.9747924804688 203.85047912597656],18.66716853290359
112,0,0,0.11982226371765137,[352. 165. 391. 211.],[352.55767822265625 165.375732421875 389.6710510253906 210.6988525390625],1.5195311853389186
113,0,2,1.3100907802581787,[358. 126. 418. 240.],[587.5822143554688 394.097412109375 655.111328125 468.0149230957031],482.4902098567859
114,0,0,1.1109046936035156,[446.  88. 566. 228.],[450.52685546875 91.16156005859375 566.7442016601562 229.52500915527344],5.7764497291757175
115,0,0,1.5543582439422607,[260.  85. 402. 325.],[260.0360412597656 79.01220703125 415.60516357421875 293.65838623046875],34.68792575477434
116,1,0,1.4179089069366455,[624. 410. 954. 838.],[597.6474609375 412.1633605957031 932.7223510742188 836.9186401367188],33.95650345766397
117,0,0,0.15618348121643066,[324. 194. 582. 536.],[327.6966857910156 204.13442993164062 567.2278442382812 533.3695678710938],18.479932762596647
118,1,0,1.6463818550109863,[330. 254. 548. 498.],[331.36163330078125 225.770751953125 550.897216796875 501.4662780761719],28.620856720357565
119,0,0,0.10878586769104004,[438. 208. 618. 406.],[447.91143798828125 214.78231811523438 607.50390625 413.7953796386719],17.75309465224557
120,0,0,0.96700119972229,[324. 240. 414. 366.],[314.48968505859375 240.17401123046875 407.6499328613281 364.6333923339844],11.51813089748147
122,0,0,0.318803071975708,[488. 176. 624. 358.],[495.2341003417969 168.57586669921875 628.9217529296875 350.01904296875],13.977456494602338
123,0,0,0.17258167266845703,[550. 227. 677. 438.],[546.8003540039062 245.1226806640625 682.3348999023438 432.7000427246094],19.880140669544996
124,0,0,1.0434041023254395,[264. 184. 442. 418.],[260.75518798828125 205.76455688476562 440.8302001953125 429.0516662597656],24.652231138010244
125,1,0,0.07235050201416016,[234. 128. 558. 500.],[230.30364990234375 125.43246459960938 549.2042846679688 485.0964050292969],17.881191048965377
126,0,0,0.19334816932678223,[174. 153. 608. 686.],[169.8312225341797 158.22608947753906 608.3079223632812 682.02001953125],7.786255679093509
127,0,0,1.0562613010406494,[390. 246. 496. 386.],[383.60308837890625 230.63563537597656 505.6279296875 374.1255798339844],22.598297788429765
128,0,0,0.10798144340515137,[269. 139. 688. 736.],[253.6902618408203 154.51632690429688 687.8943481445312 746.2955932617188],24.107154249910174
129,0,0,1.4795598983764648,[364. 187. 719. 699.],[338.3321228027344 193.3593292236328 728.7974853515625 706.8314208984375],29.267778537002503
130,0,0,3.066155195236206,[281. 330. 351. 422.],[685.9159545898438 731.4475708007812 747.0594482421875 810.1921997070312],795.4076645585849
131,0,0,0.10340714454650879,[452.  86. 654. 409.],[450.8138427734375 102.38856506347656 658.973388671875 388.9908447265625],26.364614987592695
132,0,0,1.3187901973724365,[283. 337. 711. 837.],[284.7108154296875 337.631103515625 713.756103515625 832.9697875976562],5.2118998147256175
133,0,0,0.9140782356262207,[626. 202. 690. 300.],[634.9843139648438 198.2188262939453 695.6834716796875 298.1117858886719],11.44038351097874
134,0,0,1.6735827922821045,[375. 341. 482. 496.],[367.1918640136719 335.5832824707031 465.2937927246094 468.5859680175781],33.480357337321664
135,0,1,1.1255114078521729,[624. 122. 688. 214.],[624.1576538085938 121.71450805664062 687.4126586914062 197.51451110839844],16.499171924099294
136,0,0,0.14457035064697266,[474.  26. 600. 202.],[470.7876281738281 45.87110137939453 594.9124145507812 200.08529663085938],20.850170682146917
137,0,0,0.06952166557312012,[715. 182. 757. 237.],[713.2969970703125 183.313720703125 754.4834594726562 237.74090576171875],3.392344121379058
138,0,0,2.9874067306518555,[295. 351. 743. 910.],[282.1966247558594 276.9935302734375 732.55908203125 886.2725830078125],79.45367873284533
140,0,2,0.43433451652526855,[702.  58. 816. 194.],[707.9102783203125 59.791221618652344 823.6527709960938 192.81838989257812],9.904593433114695
141,0,0,0.15948748588562012,[285. 200. 656. 699.],[284.92120361328125 193.76602172851562 642.4442749023438 684.0667724609375],21.109894874597114
143,0,1,0.12295866012573242,[328. 114. 412. 206.],[325.4080810546875 105.58494567871094 406.4187927246094 194.6868438720703],15.384035857833336
144,0,0,0.13062667846679688,[402. 202. 788. 652.],[391.3446350097656 183.67213439941406 775.5692138671875 648.6181030273438],24.807441052265727
145,0,0,0.0805974006652832,[784. 188. 896. 326.],[777.1300659179688 178.81744384765625 889.993896484375 317.197021484375],15.655064419201823
146,1,0,0.15342068672180176,[220. 156. 358. 328.],[207.68421936035156 129.05133056640625 348.2190246582031 326.6321105957031],31.232160300950614
147,0,0,0.09872031211853027,[384. 165. 627. 492.],[383.2796936035156 159.99188232421875 631.2224731445312 490.9596252441406],6.671712152679099
148,0,0,0.24508380889892578,[491. 294. 599. 416.],[490.02618408203125 290.1875305175781 595.4008178710938 418.6551513671875],5.957111865342401
149,0,0,0.10898923873901367,[ 65. 368. 486. 901.],[68.07942199707031 325.76666259765625 497.244140625 888.2266845703125],45.63689202210549
150,0,0,0.10703825950622559,[235. 197. 702. 784.],[205.9766387939453 181.51983642578125 703.8511962890625 779.2513427734375],33.286147766566685
151,0,0,0.10569906234741211,[477. 166. 876. 592.],[495.22747802734375 152.10484313964844 858.0789794921875 574.061767578125],34.179811261528606
152,0,0,0.11888980865478516,[447. 366. 582. 522.],[447.6780700683594 363.5389099121094 578.1279907226562 524.0406494140625],5.06689740504661
153,0,0,0.09357023239135742,[310. 144. 474. 374.],[303.3485412597656 145.1793975830078 463.59515380859375 358.6114807128906],19.766138523960702
154,0,1,0.10456418991088867,[836. 396. 900. 484.],[836.46484375 397.20916748046875 902.7861328125 471.7394714355469],12.639670187010315
155,1,0,0.1804823875427246,[228. 202. 430. 488.],[238.64244079589844 190.4984588623047 439.1209716796875 477.6464538574219],20.879057372028477
156,0,0,0.07006335258483887,[702.  20. 830. 132.],[707.84912109375 9.755902290344238 813.0042114257812 127.5571060180664],21.16010140922231
157,1,0,0.11611604690551758,[231. 264. 249. 287.],[231.5208282470703 265.3905334472656 248.7866668701172 285.4122619628906],2.184323334513525
159,0,0,0.08192181587219238,[190. 160. 250. 240.],"[190.37966918945312 164.16603088378906 246.89120483398438
 237.85427856445312]",5.636372049582225
160,0,0,0.08630847930908203,[424. 152. 578. 320.],[412.1351013183594 128.26632690429688 586.4508056640625 324.1470947265625],28.154530192886067
161,0,0,0.2339775562286377,[559. 179. 585. 208.],[557.345947265625 180.7319793701172 583.2739868164062 209.47264099121094],3.2990053024417993
162,0,0,0.11280083656311035,[257. 232. 288. 265.],[259.004150390625 235.74188232421875 286.0442199707031 266.1515808105469],4.813472343616335
163,1,0,0.08699154853820801,[458. 412. 526. 498.],[472.8163757324219 423.9466552734375 530.5632934570312 494.9449157714844],19.809208689015342
164,1,0,0.09519481658935547,[285. 232. 594. 645.],[301.2997741699219 232.73695373535156 586.130126953125 616.9071655273438],33.42705475031406
165,0,0,0.06536555290222168,[268.  86. 612. 500.],[279.154541015625 52.83299255371094 610.7819213867188 487.1438293457031],37.29931644966154
166,1,0,0.10706424713134766,[466. 366. 576. 550.],[495.0228576660156 387.5916442871094 584.6669311523438 514.2528686523438],51.58971278567966
167,0,0,0.0911862850189209,[546.  92. 638. 238.],[543.0331420898438 79.20836639404297 651.1414184570312 229.59300231933594],20.39123893326736
170,0,0,0.2846865653991699,[351.  36. 648. 348.],[371.1924743652344 -14.029842376708984 651.1261596679688 324.5455017089844],58.911862248463024
171,0,0,0.10800457000732422,[366. 187. 689. 666.],[370.87017822265625 218.3408203125 703.5963134765625 654.398193359375],36.79157428288953
172,0,0,0.09563779830932617,[235. 225. 582. 719.],[254.57217407226562 209.4627227783203 579.2371215820312 703.7664794921875],29.39677917039237
173,0,0,0.13837862014770508,[553. 138. 670. 282.],[545.9944458007812 134.33071899414062 663.2883911132812 282.1753234863281],10.373902106309476
174,0,0,0.10453367233276367,[503. 449. 596. 591.],[508.84112548828125 454.9018249511719 601.8187255859375 589.1702270507812],10.30319956199336
175,0,0,0.09218525886535645,[322. 372. 756. 929.],[306.5117492675781 351.04034423828125 758.6446533203125 920.2984619140625],27.602609236189565
176,0,0,0.07100534439086914,[302. 102. 600. 566.],[299.7218322753906 101.79900360107422 630.7510986328125 571.5045166015625],31.323477103854113
177,0,0,0.14779400825500488,[594. 158. 668. 276.],[583.7881469726562 154.95838928222656 662.1964111328125 278.91888427734375],12.479377675766175
178,0,0,0.13016676902770996,[544. 228. 652. 378.],[539.4693603515625 240.19337463378906 650.38916015625 381.066162109375],13.461100834148146
179,0,0,0.1043097972869873,[270. 102. 567. 576.],[224.77752685546875 146.21429443359375 565.364501953125 572.4833984375],63.364163767693476
180,0,0,0.0833139419555664,[412. 128. 508. 258.],[415.2869567871094 131.0724334716797 507.0090026855469 248.31729125976562],10.722912691227442
181,0,0,0.09040164947509766,[450. 176. 644. 374.],[449.08843994140625 165.34178161621094 635.813720703125 384.073486328125],16.820191924776843
182,0,0,0.08066916465759277,[414. 192. 650. 518.],[414.35943603515625 184.5021514892578 646.8536376953125 519.41943359375],8.262040548970464
183,0,0,0.16896486282348633,[254.   8. 844. 668.],[257.9045715332031 -67.2697982788086 844.932861328125 766.3486938476562],123.91175902063519
184,0,0,0.05766558647155762,[328.  28. 674. 510.],[340.7234191894531 -2.838245391845703 691.6931762695312 508.50115966796875],37.79123950816993
185,1,0,0.11640262603759766,[123. 301. 459. 719.],"[132.26849365234375 292.38848876953125 437.24957275390625
 707.8504638671875]",27.52192474411146
186,0,0,0.16363883018493652,[ 269.  311.  805. 1059.],[287.1086120605469 337.5520324707031 826.6962280273438 1064.984619140625],39.23613431465297
187,0,0,0.10318255424499512,[285. 201. 759. 919.],[269.2921142578125 219.8316192626953 761.1231689453125 916.4577026367188],24.74547798686501
188,1,0,0.14655280113220215,[426. 102. 548. 280.],[388.75958251953125 85.60308074951172 553.074951171875 287.8674621582031],41.753559671413754
190,0,0,0.12364649772644043,[470.  44. 634. 292.],[457.6866149902344 44.10173034667969 622.5814819335938 282.537353515625],19.275736893391567
191,0,0,0.0818471908569336,[478. 120. 738. 470.],[484.0804443359375 128.2267303466797 738.3912963867188 465.9740905761719],11.000543398875447
192,0,0,0.08790802955627441,[722.  82. 810. 222.],[722.0145263671875 95.16112518310547 819.8305053710938 234.97178649902344],20.931352271844894
193,0,0,0.13055109977722168,[483.  66. 603. 252.],[480.2182922363281 75.8537368774414 601.7389526367188 247.8353271484375],11.12514130001509
194,0,0,0.22317934036254883,[294.  13. 898. 846.],[273.3521728515625 -46.9936637878418 914.4285278320312 869.694580078125],69.69147804751206
195,0,0,0.0959465503692627,[386. 126. 602. 416.],[373.5618591308594 134.7346649169922 590.7919311523438 429.5602111816406],23.248695750024652
196,0,0,0.1100459098815918,[364. 190. 660. 610.],[346.6407165527344 200.43365478515625 648.7548217773438 627.9834594726562],29.32686007472154
197,1,0,0.1550896167755127,[488.  52. 912. 674.],[475.213623046875 83.83763122558594 925.2463989257812 665.6555786132812],37.71236734048764
198,0,0,0.0786125659942627,[244.  90. 420. 398.],[243.48379516601562 103.65837860107422 426.935302734375 386.0636291503906],19.426609238818408
199,0,0,0.08924317359924316,[536.  18. 788. 330.],[522.5885009765625 21.46725845336914 757.9495239257812 339.8199157714844],34.51596797548007
200,0,0,0.1141364574432373,[342. 262. 752. 876.],[352.440673828125 309.46478271484375 758.9697265625 857.3606567382812],52.51585925924494
201,0,0,0.06714344024658203,[228.   0. 890. 576.],[221.0512237548828 -270.035400390625 865.8917236328125 739.8984985351562],316.8774680644005
202,0,0,0.11821961402893066,[446. 172. 563. 332.],[439.1806640625 189.47142028808594 563.5973510742188 345.0407409667969],22.851074871444986
204,0,0,0.0640864372253418,[470. 121. 496. 164.],[471.0216979980469 122.32025909423828 498.3045654296875 162.88589477539062],3.05601098596594
205,0,0,0.19768238067626953,[601.  85. 859. 452.],[577.359375 102.49089050292969 853.9226684570312 446.0578308105469],30.428589701946628
206,0,0,0.124420166015625,[480. 158. 615. 353.],[466.9128723144531 157.74778747558594 611.4841918945312 352.0412292480469],13.587371718053472
207,0,0,0.06621146202087402,[524.  94. 652. 284.],[530.15576171875 110.0593490600586 652.0119018554688 274.4305114746094],19.68175162079278
208,0,0,0.13722872734069824,[404. 150. 748. 584.],[427.7649841308594 191.8379669189453 739.8296508789062 562.0408325195312],53.51775021286483
209,0,0,0.07936263084411621,[170.  64. 534. 578.],[165.70701599121094 50.53969192504883 548.5197143554688 579.7444458007812],20.334079799405306
210,0,0,0.09222841262817383,[459. 358. 601. 555.],[460.51519775390625 384.46722412109375 608.8804321289062 572.354248046875],32.650894516389776
211,0,0,0.08004069328308105,[594. 124. 798. 432.],[581.8680419921875 120.73753356933594 803.448486328125 410.98663330078125],25.081381054840985
212,0,0,0.09252381324768066,[416.  60. 662. 388.],[407.1943054199219 32.11443328857422 672.8138427734375 396.3843688964844],32.28594005408478
213,0,0,0.22654938697814941,[355. 347. 440. 462.],[360.1929931640625 339.25189208984375 456.6494140625 468.97808837890625],20.319868607789395
214,1,0,0.15966200828552246,[493. 283. 568. 398.],[492.38543701171875 278.627197265625 575.7813110351562 396.1172180175781],9.142907679699032
215,0,0,0.1415998935699463,[334. 195. 567. 527.],[332.5581359863281 208.83636474609375 588.94140625 536.0450439453125],27.509309141107874
